rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1501822123031317949,,6,,1501822123,31317949,"""gps""",,0,0,42.3059708629,-83.2448329011,156.021418836,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123039287090,,70,,1501822123,39287090,"""gps""",,0,0,42.3059708652,-83.2448329007,156.021404103,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123041313886,,89,,1501822123,41313886,"""gps""",,0,0,42.3059708675,-83.2448329002,156.021386854,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123049295902,,159,,1501822123,49295902,"""gps""",,0,0,42.3059708698,-83.2448328997,156.021367828,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123051310062,,180,,1501822123,51310062,"""gps""",,0,0,42.3059708722,-83.2448328992,156.021347896,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123059303045,,246,,1501822123,59303045,"""gps""",,0,0,42.3059708745,-83.2448328986,156.021328436,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123061312913,,267,,1501822123,61312913,"""gps""",,0,0,42.3059708769,-83.2448328981,156.021310714,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123069293022,,332,,1501822123,69293022,"""gps""",,0,0,42.3059708794,-83.2448328976,156.021294589,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123071316003,,353,,1501822123,71316003,"""gps""",,0,0,42.3059708818,-83.2448328969,156.021278512,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123079293966,,418,,1501822123,79293966,"""gps""",,0,0,42.3059708842,-83.2448328963,156.021260279,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123089288949,,493,,1501822123,89288949,"""gps""",,0,0,42.3059708891,-83.2448328947,156.021220975,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123091317892,,516,,1501822123,91317892,"""gps""",,0,0,42.3059708916,-83.2448328938,156.02120181,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123099315881,,579,,1501822123,99315881,"""gps""",,0,0,42.3059708941,-83.2448328929,156.02118417,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123101306915,,603,,1501822123,101306915,"""gps""",,0,0,42.3059708966,-83.244832892,156.021168608,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123109278917,,666,,1501822123,109278917,"""gps""",,0,0,42.3059708991,-83.2448328911,156.021155165,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123111320018,,689,,1501822123,111320018,"""gps""",,0,0,42.3059709016,-83.2448328902,156.021143993,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123119324922,,725,,1501822123,119324922,"""gps""",,0,0,42.3059709042,-83.2448328893,156.021133471,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123121309995,,747,,1501822123,121309995,"""gps""",,0,0,42.3059709067,-83.2448328884,156.021123539,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123129297018,,811,,1501822123,129297018,"""gps""",,0,0,42.3059709092,-83.2448328874,156.021114101,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123131309986,,833,,1501822123,131309986,"""gps""",,0,0,42.3059709118,-83.2448328864,156.021106772,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123139296054,,898,,1501822123,139296054,"""gps""",,0,0,42.3059709144,-83.2448328853,156.021100946,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1501822123141313076,,919,,1501822123,141313076,"""gps""",,0,0,42.3059709169,-83.2448328842,156.021097456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
