rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822123046319007,,173,,1501822123,46319007,"""map""",,,1294.55867163,-1777.53529577,-5.59789985711,,0.00501248618401,0.0148418596723,0.586084771047,0.810098287451
1501822123096323013,,598,,1501822123,96323013,"""map""",,,1294.55773509,-1777.53246191,-5.59781852882,,0.00499645157339,0.0148586668129,0.586102109845,0.810085533958
1501822123146317958,,1004,,1501822123,146317958,"""map""",,,1294.55693575,-1777.52936769,-5.59784110611,,0.00498656303846,0.0148521377894,0.586112679352,0.810078067408
1501822123196330070,,1245,,1501822123,196330070,"""map""",,,1294.55655061,-1777.52630271,-5.59798120587,,0.00497981693821,0.0148260664521,0.586101618742,0.810086589005
1501822123251327991,,1632,,1501822123,251327991,"""map""",,,1294.55578947,-1777.52218808,-5.59818770994,,0.00497226068828,0.0147958886662,0.586093241116,0.810093248349
1501822123296344995,,2035,,1501822123,296344995,"""map""",,,1294.55523622,-1777.5185151,-5.59833495909,,0.00499417554713,0.0147939324094,0.586092096704,0.810093977237
1501822123351334095,,2470,,1501822123,351334095,"""map""",,,1294.55500513,-1777.51393012,-5.59844392612,,0.00501183047381,0.0148274280582,0.586099465757,0.810087924347
1501822123401329994,,2910,,1501822123,401329994,"""map""",,,1294.55461919,-1777.50890055,-5.59849340158,,0.00502863870989,0.0148675366657,0.586107513596,0.810081262376
1501822123446346044,,3247,,1501822123,446346044,"""map""",,,1294.55477974,-1777.50429742,-5.59856275386,,0.00504680845908,0.0149158604146,0.586102629316,0.810083794888
1501822123501351118,,3695,,1501822123,501351118,"""map""",,,1294.55474053,-1777.49755689,-5.59870852725,,0.00507320378098,0.0149335390221,0.586095077171,0.810088768304
1501822123551359891,,4118,,1501822123,551359891,"""map""",,,1294.55525235,-1777.49120218,-5.5989083593,,0.0050630858755,0.0149321619801,0.586083744228,0.810097056193
1501822123601402997,,4445,,1501822123,601402997,"""map""",,,1294.55572733,-1777.48380527,-5.59915573467,,0.00503993880311,0.0149142235574,0.586087094046,0.810095107469
1501822123651346921,,4883,,1501822123,651346921,"""map""",,,1294.55638561,-1777.47573476,-5.59947074338,,0.00503512603398,0.0148951954355,0.586100819355,0.810085557339
